what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620376000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620376336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620380646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620455239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620467022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620469159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620478639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620480183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620537918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620554146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620579646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620582484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620594438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620596425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620596550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620596573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620603231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620604448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620623810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620627381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620643350
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604620650047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1604620657635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620659596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620716261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620726018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620743956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620744847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620753376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620771927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620799326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604620813658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621050629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1604621055914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621063566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621158076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621186726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621288584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1604621291978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621295967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621316949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621337675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621367754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621368536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621373783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621385896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621447528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1604621451796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1604621457525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621461114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621527980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621535790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621577016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621583703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621645099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621649446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621751276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621752143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621757993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604621799577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622074781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622079085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622080416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622097349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622185205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622193277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622433927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622441143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622463632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622467564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622500232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622529508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622537997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622539528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622546628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622549258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622550494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622559716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622575891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622584272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622590024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622664242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622673850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622676275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622681490
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1604622693128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604622727487
